  PID TTY          TIME CMD
  630 ?        00:00:21 Isolated Web Co
 1266 ?        00:00:02 Isolated Web Co
 1280 ?        00:00:00 systemd
 1281 ?        00:00:00 (sd-pam)
 1297 ?        00:00:00 gnome-keyring-d
 1300 ?        00:00:00 cinnamon-sessio
 1315 ?        00:00:00 dbus-daemon
 1365 ?        00:00:00 ssh-agent
 1377 ?        00:00:00 at-spi-bus-laun
 1382 ?        00:00:00 dbus-daemon
 1384 ?        00:00:01 at-spi2-registr
 1396 ?        00:00:02 csd-keyboard
 1399 ?        00:00:00 csd-automount
 1400 ?        00:00:00 csd-xrandr
 1401 ?        00:00:00 csd-background
 1403 ?        00:00:00 csd-housekeepin
 1405 ?        00:00:00 csd-clipboard
 1406 ?        00:00:00 csd-xsettings
 1407 ?        00:00:00 csd-screensaver
 1408 ?        00:00:00 csd-a11y-settin
 1411 ?        00:06:12 pulseaudio
 1412 ?        00:00:00 csd-a11y-keyboa
 1416 ?        00:00:00 csd-cursor
 1418 ?        00:00:00 csd-color
 1422 ?        00:00:01 csd-media-keys
 1423 ?        00:00:00 csd-wacom
 1424 ?        00:00:00 csd-sound
 1425 ?        00:00:00 csd-mouse
 1426 ?        00:00:00 csd-power
 1427 ?        00:00:00 csd-orientation
 1428 ?        00:00:00 csd-print-notif
 1431 ?        00:00:00 gvfsd
 1436 ?        00:00:00 gvfsd-fuse
 1438 ?        00:00:00 gvfs-udisks2-vo
 1447 ?        00:00:00 gvfs-gphoto2-vo
 1451 ?        00:00:00 gvfs-mtp-volume
 1455 ?        00:00:00 gvfs-afc-volume
 1460 ?        00:00:00 gvfs-goa-volume
 1464 ?        00:00:00 goa-daemon
 1471 ?        00:00:00 goa-identity-se
 1531 ?        00:00:00 dconf-service
 1556 ?        00:00:00 cinnamon-launch
 1565 ?        00:00:00 csd-printer
 1571 ?        00:07:15 cinnamon
 1593 ?        00:00:00 polkit-gnome-au
 1599 ?        00:00:00 nvidia-prime
 1602 ?        00:00:01 nemo-desktop
 1603 ?        00:00:04 nm-applet
 1604 ?        00:00:00 cinnamon-killer
 1605 ?        00:00:00 blueberry-obex-
 1633 ?        00:00:00 obexd
 1700 ?        00:00:00 gvfsd-trash
 1708 ?        00:00:00 gvfsd-metadata
 1712 ?        00:00:00 blueberry-tray
 1713 ?        00:00:01 cinnamon-screen
 1726 ?        00:00:00 python3
 1727 ?        00:00:00 rfkill
 1782 ?        00:00:01 mintUpdate
 1800 ?        00:00:00 applet.py
 1806 ?        00:00:00 mintreport-tray
 1983 ?        00:02:03 gnome-terminal-
 1990 pts/0    00:00:00 bash
 4551 ?        00:00:00 ssh-agent
 5962 ?        00:00:01 Isolated Web Co
 6003 ?        00:00:02 Isolated Web Co
 6033 ?        00:00:00 Web Content
 6287 ?        00:00:00 Web Content
 6702 ?        00:00:00 Web Content
 8237 ?        00:00:00 node
